Κωδικός,Πόλη,Κωδ. Χώρας/Περιοχής,Κωδ. Καταστήματος,Προκαθορισμένο,Πόλη ENU,Ανενεργό,Περιοχή,Ζώνη Τιμολόγησης,ΧΜ Ζώνη,Ζώνη
10553,ΑΘΗΝΑ,GR,0113,TRUE,,FALSE,,ATH1,,In-city
10554,ΑΘΗΝΑ 0113 ATH1,GR,0113,TRUE,,FALSE,,ATH1,,In-city
10554,"ΜΟΝΑΣΤΗΡΑΚΙ, ΑΘΗΝΑ",GR,0113,FALSE,,FALSE,ΑΘΗΝΑ,ATH1,,In-city
10555,AΘΗΝΑ ATH,GR,0967,TRUE,,FALSE,,ATH1,,In-city
10555,"ΑΘΗΝΑ,",GR,0967,FALSE,,FALSE,,ATH1,,In-city
10556,ΑΘΗΝΑ,GR,0967,FALSE,,FALSE,,ATH1,,In-city
10556,"ΑΘΗΝΑ,",GR,0967,TRUE,,FALSE,,ATH1,,In-city
10557,ΑΘΗΝΑ,GR,0967,FALSE,,FALSE,,ATH1,,In-city
10557,ΑΘΗΝΑ.,GR,0967,TRUE,,FALSE,,ATH1,,In-city
10558,ΑΘΗΝΑ,GR,0967,FALSE,,FALSE,,ATH1,,In-city
10558,ΑΘΗΝΑ.,GR,0967,TRUE,,FALSE,,ATH1,,In-city
10559,ΑΘΗΝΑ,GR,0967,FALSE,,FALSE,,ATH1,,In-city
10559,ΑΘΗΝΑ.,GR,0967,TRUE,,FALSE,,ATH1,,In-city
10560,ΑΘΗΝΑ,GR,0967,FALSE,,FALSE,,ATH1,,In-city
10560,ΑΘΗΝΑ.,GR,0967,TRUE,,FALSE,,ATH1,,In-city
10561,ΑΘΗΝΑ,GR,0967,FALSE,,FALSE,,ATH1,,In-city
10561,ΑΘΗΝΑ.,GR,0967,TRUE,,FALSE,,ATH1,,In-city
10562,ΑΘΗΝΑ,GR,0967,FALSE,,FALSE,,ATH1,,In-city
10562,ΑΘΗΝΑ.,GR,0967,TRUE,,FALSE,,ATH1,,In-city
10563,ΑΘΗΝΑ,GR,0967,FALSE,,FALSE,,ATH1,,In-city
10563,ΑΘΗΝΑ.,GR,0967,TRUE,,FALSE,,ATH1,,In-city
10564,ΑΘΗΝΑ,GR,0967,FALSE,,FALSE,,ATH1,,In-city
10564,ΑΘΗΝΑ.,GR,0967,TRUE,,FALSE,,ATH1,,In-city
10671,ΑΘΗΝΑ,GR,0967,FALSE,,FALSE,,ATH1,,In-city
10671,ΑΘΗΝΑ.,GR,0967,TRUE,,FALSE,,ATH1,,In-city
10672,ΑΘΗΝΑ,GR,0967,FALSE,,FALSE,,ATH1,,In-city
10672,ΑΘΗΝΑ.,GR,0967,TRUE,,FALSE,,ATH1,,In-city
10673,ΑΘΗΝΑ,GR,0967,FALSE,,FALSE,,ATH1,,In-city
10673,ΑΘΗΝΑ.,GR,0967,TRUE,,FALSE,,ATH1,,In-city
10674,ΑΘΗΝΑ,GR,0967,FALSE,,FALSE,,ATH1,,In-city
10674,ΑΘΗΝΑ.,GR,0967,TRUE,,FALSE,,ATH1,,In-city
10675,ΑΘΗΝΑ,GR,0967,FALSE,,FALSE,,ATH1,,In-city
10675,ΑΘΗΝΑ.,GR,0967,TRUE,,FALSE,,ATH1,,In-city
10676,ΑΘΗΝΑ,GR,0967,FALSE,,FALSE,,ATH1,,In-city
10676,ΑΘΗΝΑ.,GR,0967,TRUE,,FALSE,,ATH1,,In-city
10677,ΑΘΗΝΑ,GR,0967,FALSE,,FALSE,,ATH1,,In-city
10677,ΑΘΗΝΑ.,GR,0967,TRUE,,FALSE,,ATH1,,In-city
10678,ΑΘΗΝΑ,GR,0967,FALSE,,FALSE,,ATH1,,In-city
10678,ΑΘΗΝΑ.,GR,0967,TRUE,,FALSE,,ATH1,,In-city
10679,ΑΘΗΝΑ,GR,0967,FALSE,,FALSE,,ATH1,,In-city
10679,ΑΘΗΝΑ.,GR,0967,TRUE,,FALSE,,ATH1,,In-city
10680,ΑΘΗΝΑ,GR,0967,FALSE,,FALSE,,ATH1,,In-city
10680,ΑΘΗΝΑ.,GR,0967,TRUE,,FALSE,,ATH1,,In-city
10681,ΑΘΗΝΑ,GR,0967,FALSE,,FALSE,,ATH1,,In-city
10681,ΑΘΗΝΑ.,GR,0967,TRUE,,FALSE,,ATH1,,In-city
10682,ΑΘΗΝΑ,GR,0967,FALSE,,FALSE,,ATH1,,In-city
10682,ΑΘΗΝΑ.,GR,0967,TRUE,,FALSE,,ATH1,,In-city
10683,ΑΘΗΝΑ,GR,0967,FALSE,,FALSE,,ATH1,,In-city
10683,ΑΘΗΝΑ 0967 ATH1,GR,0967,FALSE,,FALSE,,ATH1,,In-city
10683,"ΕΞΑΡΧΕΙΑ, ",GR,0967,TRUE,,FALSE,,ATH1,,In-city
10683,"ΕΞΑΡΧΕΙΑ, ΑΘΗΝΑ",GR,0967,FALSE,,FALSE,ΑΘΗΝΑ,ATH1,,In-city
11141,ΑΘΗΝA,GR,0113,FALSE,,FALSE,,ATH1,,In-city
11141,ΑΘΗΝΑ,GR,0936,TRUE,,FALSE,,ATH1,,In-city
11142,AΘΗΝΑ,GR,0113,FALSE,,FALSE,,ATH1,,In-city
11142,ΑΘΗΝΑ,GR,0936,TRUE,,FALSE,,ATH1,,In-city
11143,AΘHNA,GR,0113,FALSE,,FALSE,,ATH1,,In-city
11143,ΑΘΗΝΑ,GR,0936,TRUE,,FALSE,,ATH1,,In-city
11144,ΑΘHΝΑ,GR,0113,FALSE,,FALSE,,ATH1,,In-city
11144,ΑΘΗΝΑ,GR,0936,TRUE,,FALSE,,ATH1,,In-city
11145,AΘΗNΑ,GR,0113,FALSE,,FALSE,,ATH1,,In-city
11145,ΑΘΗΝΑ,GR,0936,TRUE,,FALSE,,ATH1,,In-city
11146,ΑΘΗΝΑ,GR,0113,FALSE,,FALSE,,ATH1,,In-city
11146,ΓΑΛΑΤΣΙ,GR,0936,TRUE,,FALSE,,ATH1,,In-city
11147,ΓΑΛΑΤΣI,GR,0113,FALSE,,FALSE,,ATH1,,In-city
11147,ΓΑΛΑΤΣΙ,GR,0936,TRUE,,FALSE,,ATH1,,In-city
11251,ΑΘΗΝΑ,GR,0113,FALSE,,FALSE,,ATH1,,In-city
11251,ΑΘΗΝΑ 0113 ATH1,GR,0113,TRUE,,FALSE,,ATH1,,In-city
11251,"ΠΛ.ΑΜΕΡΙΚΗΣ, ΑΘΗΝΑ",GR,0113,FALSE,,FALSE,ΑΘΗΝΑ,ATH1,,In-city
11252,ΑΘΗΝΑ,GR,0113,TRUE,,FALSE,,ATH1,,In-city
11253,ΑΘΗΝΑ,GR,0113,TRUE,,FALSE,,ATH1,,In-city
11254,ΑΘΗΝΑ,GR,0113,FALSE,,FALSE,ΑΘΗΝΑ,ATH1,,In-city
11254,ΑΘΗΝΑ 0113 ATH1,GR,0113,TRUE,,FALSE,,ATH1,,In-city
11255,ΑΘΗΝΑ,GR,0113,TRUE,,FALSE,,ATH1,,In-city
11256,ΑΘΗΝΑ,GR,0113,TRUE,,FALSE,,ATH1,,In-city
11257,ΑΘΗΝΑ,GR,0113,TRUE,,FALSE,,ATH1,,In-city
11361,ΑΘΗΝΑ,GR,0967,TRUE,,FALSE,,ATH1,,In-city
11362,ΑΘΗΝΑ.,GR,0967,TRUE,,FALSE,,ATH1,,In-city
11363,ΑΘΗΝΑ.,GR,0967,TRUE,,FALSE,,ATH1,,In-city
11364,ΑΘΗΝΑ.,GR,0967,TRUE,,FALSE,,ATH1,,In-city
11454,ΑΘΗΝΑ,GR,0944,TRUE,,FALSE,,ATH1,,In-city
11471,ΑΘΗΝΑ,GR,0944,TRUE,,FALSE,,ATH1,,In-city
11472,ΑΘΗΝΑ,GR,0944,TRUE,,FALSE,,ATH1,,In-city
11473,ΑΘΗΝΑ 0944 ATH1,GR,0944,TRUE,,FALSE,,ATH1,,In-city
11474,ΑΘΗΝΑ,GR,0944,TRUE,,FALSE,,ATH3,,In-city
11475,ΑΘΗΝΑ,GR,0944,TRUE,,FALSE,,ATH3,,In-city
11476,ΑΘΗΝΑ,GR,0944,TRUE,,FALSE,,ATH3,,In-city
11521,ΑΘΗΝΑ,GR,0944,FALSE,,FALSE,,ATH3,,In-city
11521,ΑΘΗΝΑ 0944 ATH3,GR,0944,TRUE,,FALSE,,ATH3,,In-city
11522,ΑΘΗΝΑ,GR,0944,TRUE,,FALSE,,ATH3,,In-city
11523,ΑΘΗΝΑ,GR,0944,TRUE,,FALSE,,ATH3,,In-city
11524,ΑΘΗΝΑ,GR,0944,TRUE,,FALSE,,ATH3,,In-city
11525,ΑΘΗΝΑ,GR,0944,TRUE,,FALSE,,ATH3,,In-city
11526,ΑΘΗΝΑ,GR,0944,TRUE,,FALSE,,ATH3,,In-city
11527,ΑΘΗΝΑ,GR,0944,TRUE,,FALSE,,ATH3,,In-city
11528,ΑΘΗΝΑ,GR,0944,TRUE,,FALSE,,ATH3,,In-city
11533,ΑΘΗΝΑ,GR,0944,TRUE,,FALSE,ΣΚΡΑ,ATH3,,In-city
11551,ΑΘΗΝΑ,GR,0944,TRUE,,FALSE,ΑΘΗΝΑ,ATH3,,In-city
11630,ΑΘΗΝΑ 0110,GR,0110,TRUE,,FALSE,,ATH1,,In-city
11631,ΑΘΗΝΑ,GR,0970,TRUE,,FALSE,,ATH3,,In-city
